Name, Price, URL, Date
"","$544.98","/ASUS-Graphics-DisplayPort-Axial-tech-Technology/dp/B0985X2YR1/ref=sr_1_1?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-1","4/10/2022"
"","$574.00","/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B0985VND1G/ref=sr_1_2?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-2","4/10/2022"
"","$876.92$944.43","/NVIDIA-GeForce-Founders-Express-Graphics/dp/B08PW559LL/ref=sr_1_3?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-3","4/10/2022"
"","$599.99$719.99","/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B0971XRQR4/ref=sr_1_4?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-4","4/10/2022"
"","$785.00","/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B08WHJPBFX/ref=sr_1_5?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-5","4/10/2022"
"","$569.99","/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_6?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-6","4/10/2022"
"","$499.99","/EVGA-GeForce-12G-P5-3657-KR-Dual-Fan-Backplate/dp/B08WM28PVH/ref=sr_1_7?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-7","4/10/2022"
"","$579.00","/GIGABYTE-REV2-0-WINDFORCE-GV-N3060GAMING-OC-12GD/dp/B0971BG25M/ref=sr_1_8?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-8","4/10/2022"
"","$91.39","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A093770129YC91WNDBJOR&url=%2FASUS-GeForce-GDDR5-Graphics-GT710-SL-1GD5-BRK%2Fdp%2FB075FJSGJ2%2Fref%3Dsr_1_9_sspa%3Fcrid%3D2WB9L4PJER3CU%26keywords%3Dnvidia%2B3060%26qid%3D1649624272%26sprefix%3Dnvidia%2B3060%252Caps%252C66%26sr%3D8-9-spons%26psc%3D1%26smid%3DA1DTG0LUP6KTQ6&qualifier=1649624272&id=4040724197082616&widgetName=sp_mtf","4/10/2022"
"","$631.54","/ASUS-Graphics-DisplayPort-Axial-tech-2-7-Slot/dp/B0985Z47C8/ref=sr_1_10?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-10","4/10/2022"
"","$556.12","/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_11?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-11","4/10/2022"
"","$633.87$669.99","/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30610H-10MLHR/dp/B097YW4FW9/ref=sr_1_12?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-12","4/10/2022"
"","$758.30","/ASUS-Graphics-DisplayPort-Axial-tech-2-9-slot/dp/B09CC2TXG9/ref=sr_1_13?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-13","4/10/2022"
"","$704.00$789.90","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03644812S009BC56V6Z8&url=%2FMSI-RTX-3060-LHR-Architecture%2Fdp%2FB09TRY4QQV%2Fref%3Dsr_1_14_sspa%3Fcrid%3D2WB9L4PJER3CU%26keywords%3Dnvidia%2B3060%26qid%3D1649624272%26sprefix%3Dnvidia%2B3060%252Caps%252C66%26sr%3D8-14-spons%26psc%3D1&qualifier=1649624272&id=4040724197082616&widgetName=sp_mtf","4/10/2022"
"","$563.48","/MSI-GeForce-RTX-3060-12G/dp/B08WPJ5P4R/ref=sr_1_15?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-15","4/10/2022"
"","$580.00","/ZOTAC-GeForce-192-bit-Graphics-ZT-T20600H-10M/dp/B07TDN1SC5/ref=sr_1_16?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-16","4/10/2022"
"","$599.99","/GIGABYTE-REV3-0-WINDFORCE-GV-N306TGAMINGOC-PRO-8GD/dp/B098PJNWKD/ref=sr_1_17?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-17","4/10/2022"
"","$703.11","/EVGA-GeForce-Gaming-08G-P5-3667-KL-Cooling/dp/B097S8BR3C/ref=sr_1_18?crid=2WB9L4PJER3CU&keywords=nvidia+3060&qid=1649624272&sprefix=nvidia+3060%2Caps%2C66&sr=8-18","4/10/2022"
"","$699.99$798.99","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07418922JQ3OU3PDURR7&url=%2FMSI-GeForce-Graphics-Express-DisplayPort%2Fdp%2FB09V49FXLJ%2Fref%3Dsr_1_19_sspa%3Fcrid%3D2WB9L4PJER3CU%26keywords%3Dnvidia%2B3060%26qid%3D1649624272%26sprefix%3Dnvidia%2B3060%252Caps%252C66%26sr%3D8-19-spons%26psc%3D1&qualifier=1649624272&id=4040724197082616&widgetName=sp_btf","4/10/2022"
"","$12.99$13.99","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A047516013JTELK497PDT&url=%2FMZHOU-Pack-Transfer-Adapter-Packs%2Fdp%2FB09C1BK164%2Fref%3Dsr_1_20_sspa%3Fcrid%3D2WB9L4PJER3CU%26keywords%3Dnvidia%2B3060%26qid%3D1649624272%26sprefix%3Dnvidia%2B3060%252Caps%252C66%26sr%3D8-20-spons%26psc%3D1&qualifier=1649624272&id=4040724197082616&widgetName=sp_btf","4/10/2022"
"","$81.55","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01940951PSJK84GZ5BMA&url=%2FDpofirs-Professional-Graphics-Frequency-Express%2Fdp%2FB08P4Z8DC9%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2WB9L4PJER3CU%26keywords%3Dnvidia%2B3060%26qid%3D1649624272%26sprefix%3Dnvidia%2B3060%252Caps%252C66%26sr%3D8-21-spons%26psc%3D1%26smid%3DA2J0YO309AJY2L&qualifier=1649624272&id=4040724197082616&widgetName=sp_btf","4/10/2022"
"","$870.00$1,014.89","/NVIDIA-GeForce-Express-Graphics-Platinum/dp/B097PZT7J3/ref=sr_1_1?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-1","4/10/2022"
"","","/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B096YPLGHG/ref=sr_1_2?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-2","4/10/2022"
"","$839.99","/ASUS-DisplayPort-Axial-tech-Protective-Backplate/dp/B09CBYXJD9/ref=sr_1_3?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-3","4/10/2022"
"","","/ASUS-Graphics-DisplayPort-Axial-Tech-2-9-Slot/dp/B08L8JNTXQ/ref=sr_1_4?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-4","4/10/2022"
"","$895.30$997.96","/NVIDIA-GeForce-RTX-3070-Graphics/dp/B08MYCN952/ref=sr_1_5?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-5","4/10/2022"
"","$849.00$949.99","/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B0971ZJBQY/ref=sr_1_6?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-6","4/10/2022"
"","$899.00","/GeForce-RTX-3070-Ti-Architecture/dp/B096M7P5R6/ref=sr_1_7_mod_primary_new?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=nvidia+3070%2Caps%2C64&sr=8-7","4/10/2022"
"","$1,075.63","/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B08HBJB7YD/ref=sr_1_8?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-8","4/10/2022"
"","$904.00$974.95","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05223112DRZPJ4X45E1U&url=%2FMSI-Graphics-Architecture-Acceleration-DisplayPort%2Fdp%2FB09V3FTV3V%2Fref%3Dsr_1_9_sspa%3Fcrid%3DE4PRMCDTAGGW%26keywords%3Dnvidia%2B3070%26qid%3D1649624273%26sprefix%3Dnvidia%2B3070%252Caps%252C64%26sr%3D8-9-spons%26psc%3D1&qualifier=1649624273&id=8820852131893820&widgetName=sp_mtf","4/10/2022"
"","$2,198.98$2,527.99","/NVIDIA-RTX-3090-Founders-Graphics/dp/B08HR6ZBYJ/ref=sr_1_10_mod_primary_new?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=nvidia+3070%2Caps%2C64&sr=8-10","4/10/2022"
"","$984.99$1,049.99","/PNY-GeForce-Gaming-Epic-X-Graphics/dp/B096W957CP/ref=sr_1_11?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-11","4/10/2022"
"","","/ASUS-GeForce-Graphics-DisplayPort-Bearings/dp/B08L8KC1J7/ref=sr_1_12?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-12","4/10/2022"
"","","/GeForce-Gaming-Graphics-Epic-X-Horizon/dp/B08NXTMNWQ/ref=sr_1_13?crid=E4PRMCDTAGGW&keywords=nvidia+3070&qid=1649624273&sprefix=nvidia+3070%2Caps%2C64&sr=8-13","4/10/2022"
